Post_id,title,author,score,num_comments,category,collected_at,score_per_comment
47624741,"Show HN: European alternatives to Google, Apple, Dropbox and 120 US apps",madman_dev,217,75,Entertainment,2026-04-03 11:38:53,2.8933333333333335
47624645,Show HN: Apfel – The free AI already on your Mac,franze,106,13,Technology,2026-04-03 11:38:53,8.153846153846153
47624731,April 2026 TLDR Setup for Ollama and Gemma 4 26B on a Mac mini,greenstevester,36,13,Other,2026-04-03 11:38:53,2.769230769230769
47616361,Google releases Gemma 4 open models,jeffmcjunkin,1533,418,Other,2026-04-03 11:38:53,3.6674641148325358
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,axelriet,846,358,Other,2026-04-03 11:38:54,2.363128491620112
47561678,"ESP32-S31: 320MHz 2C RV32IMAFCP+CLIC, 512KB SRAM, GbE, 802.11ax, 61 GPIO",topspin,70,36,Other,2026-04-03 11:38:54,1.9444444444444444
47561426,What Category Theory Teaches Us About DataFrames,mchav,28,2,Technology,2026-04-03 11:38:54,14.0
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,chrisjj,69,16,Other,2026-04-03 11:38:54,4.3125
47562455,The True Shape of Io's Steeple Mountain,carlosjobim,62,1,Technology,2026-04-03 11:38:55,62.0
47618189,Tailscale's new macOS home,tosh,475,235,Technology,2026-04-03 11:38:55,2.021276595744681
47625244,'Fatal decision': EU slammed for caving to US pressure on digital rules,nickslaughter02,17,2,Other,2026-04-03 11:38:55,8.5
47618084,Cursor 3,adamfeldman,441,337,Other,2026-04-03 11:38:55,1.3086053412462908
47609356,Artemis II's toilet is a moon mission milestone,1659447091,259,111,Other,2026-04-03 11:38:55,2.3333333333333335
47615002,Qwen3.6-Plus: Towards real world agents,pretext,542,186,Worldnews,2026-04-03 11:38:56,2.913978494623656
47598413,C89cc.sh – standalone C89/ELF64 compiler in pure portable shell,gaigalas,137,37,Other,2026-04-03 11:38:56,3.7027027027027026
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),sedev,272,116,Technology,2026-04-03 11:38:56,2.3448275862068964
47624558,Proton Meet Isn't What They Told You It Was,bundie,116,102,Other,2026-04-03 11:38:56,1.1372549019607843
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,sthottingal,63,38,Entertainment,2026-04-03 11:38:56,1.6578947368421053
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,01-_-,44,4,Technology,2026-04-03 11:38:57,11.0
47561913,Vector Meson Dominance,chmaynard,35,2,Other,2026-04-03 11:38:57,17.5
47613981,LinkedIn is searching your browser extensions,digitalWestie,1766,719,Other,2026-04-03 11:38:57,2.456189151599444
47624879,Switzerland hosts 'CERN of semiconductor research',teleforce,19,3,Science,2026-04-03 11:38:57,6.333333333333333
47573728,Intel Assured Supply Chain Product Brief,aw-engineer,3,0,Technology,2026-04-03 11:38:58,3.0
47562762,Significant progress made on Xbox 360 recompilation,tetrisgm,126,25,Other,2026-04-03 11:38:58,5.04
47593861,Maze Algorithms (1997),marukodo,61,16,Other,2026-04-03 11:38:58,3.8125
47618176,George Goble has died,finaard,153,32,Other,2026-04-03 11:38:58,4.78125
47572288,JSON Canvas Spec (2024),tobr,115,32,Other,2026-04-03 11:38:58,3.59375
47617376,OpenAI Acquires TBPN,surprisetalk,214,174,Technology,2026-04-03 11:38:59,1.2298850574712643
47613078,Inside Nepal's Fake Rescue Racket,lode,293,125,Other,2026-04-03 11:38:59,2.344
47621825,I Built an SMS Gateway with a $20 Android Phone – Jonno.nz,jonno-nz,47,11,Other,2026-04-03 11:38:59,4.2727272727272725
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",phantomathkg,7,1,Entertainment,2026-04-03 11:39:00,7.0
47551847,The Joy of Numbered Streets,dmit,48,32,Other,2026-04-03 11:39:00,1.5
47621448,A Few Good Magazines From the 70s and 80s,OhMeadhbh,62,18,Other,2026-04-03 11:39:00,3.4444444444444446
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,mooreds,435,330,Technology,2026-04-03 11:39:00,1.3181818181818181
47621438,Show HN: Made a little Artemis II tracker,codingmoh,115,41,Entertainment,2026-04-03 11:39:01,2.8048780487804876
47620933,Memo: A language that remembers only the last 12 lines of code,notem,52,28,Technology,2026-04-03 11:39:01,1.8571428571428572
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",novaRom,864,410,Entertainment,2026-04-03 11:39:01,2.107317073170732
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,AbuAssar,522,107,Technology,2026-04-03 11:39:01,4.878504672897196
47623101,A Rave Review of Superpowers (For Claude Code),emschwartz,26,15,Technology,2026-04-03 11:39:01,1.7333333333333334
47614100,'Backrooms' and the Rise of the Institutional Gothic,anarbadalov,199,96,Other,2026-04-03 11:39:02,2.0729166666666665
47592614,Prefer do notation over Applicative operators when assembling records (2024),wazHFsRy,48,6,Other,2026-04-03 11:39:02,8.0
47603657,Artemis II Launch Day Updates,apitman,1080,936,Other,2026-04-03 11:39:02,1.1538461538461537
47622670,EmDash Feedback,batuhanicoz,25,2,Other,2026-04-03 11:39:02,12.5
47575557,Magic the Gathering Deck Shuffler,mooreds,59,15,Other,2026-04-03 11:39:03,3.933333333333333
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,jackson-mcd,144,44,Technology,2026-04-03 11:39:04,3.272727272727273
47615756,Renewables reached nearly 50% of global electricity capacity last year,Growtika,274,132,Worldnews,2026-04-03 11:39:04,2.0757575757575757
47609564,Steam on Linux Use Skyrocketed Above 5% in March,hkmaxpro,743,345,Sports,2026-04-03 11:39:05,2.1536231884057973
47611921,Significant raise of reports,stratos123,295,151,Technology,2026-04-03 11:39:06,1.9536423841059603
47621792,Post Mortem: axios NPM supply chain compromise,Kyro38,96,60,Technology,2026-04-03 11:39:06,1.6
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),Realman78,34,21,Entertainment,2026-04-03 11:39:06,1.619047619047619
47615876,The case for zero-error horizons in trustworthy LLMs,daigoba66,73,102,Technology,2026-04-03 11:39:07,0.7156862745098039
47620039,"Reporting potholes with an ESP32, LoRA, and AI",flakespancakes,17,0,Technology,2026-04-03 11:39:08,17.0
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,ronfriedhaber,80,30,Technology,2026-04-03 11:39:08,2.6666666666666665
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,rdme,100,58,Entertainment,2026-04-03 11:39:08,1.7241379310344827
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",kasparnoor,142,111,Entertainment,2026-04-03 11:39:10,1.2792792792792793
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,symisc_devel,18,3,Entertainment,2026-04-03 11:39:10,6.0
47618221,The Australian government has announced gambling advertising reforms,gostsamo,122,91,Worldnews,2026-04-03 11:39:10,1.3406593406593406
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,j0rg3,26,3,Technology,2026-04-03 11:39:10,8.666666666666666
47609694,Email obfuscation: What works in 2026?,jaden,353,99,Technology,2026-04-03 11:39:10,3.5656565656565657
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",arttaboi,9,5,Technology,2026-04-03 11:39:11,1.8
47557385,The revenge of the data scientist,hamelsmu,170,37,Technology,2026-04-03 11:39:12,4.594594594594595
