Post_id,title,author,score,num_comments,category,collected_at
47649721,Artemis II crew see first glimpse of far side of Moon [video],mooreds,44,12,Other,2026-04-05 15:44:18
47648828,"Eight years of wanting, three months of building with AI",brilee,90,18,Technology,2026-04-05 15:44:19
47647455,"A Claude Code skill that makes Claude talk like a caveman, cutting token use",tosh,310,200,Technology,2026-04-05 15:44:19
47649113,Finnish sauna heat exposure induces stronger immune cell than cytokine responses,Growtika,122,62,Worldnews,2026-04-05 15:44:19
47649117,Someone at BrowserStack Is Leaking Users' Email Address,m_km,236,59,Technology,2026-04-05 15:44:19
47649811,"Japanese, French and Omani Vessels Cross Strait of Hormuz",vrganj,63,21,Technology,2026-04-05 15:44:20
47647788,The threat is comfortable drift toward not understanding what you're doing,zaikunzhang,491,357,Worldnews,2026-04-05 15:44:20
47646843,Lisette a little language inspired by Rust that compiles to Go,jspdown,176,87,Other,2026-04-05 15:44:20
47648048,Friendica – A Decentralized Social Network,janandonly,51,15,Other,2026-04-05 15:44:21
47640728,Show HN: A game where you build a GPU,Jaso1024,853,170,Technology,2026-04-05 15:44:21
47649148,Iguanaworks has closed and our products are no longer sold,ripe,61,7,Other,2026-04-05 15:44:21
47644406,German implementation of eIDAS will require an Apple/Google account to function,DyslexicAtheist,447,393,Worldnews,2026-04-05 15:44:21
47648404,My Google Workspace account suspension,zenincognito,165,72,Worldnews,2026-04-05 15:44:22
47595695,OpenScreen is an open-source alternative to Screen Studio,jskopek,388,67,Other,2026-04-05 15:44:22
47612331,Baby's Second Garbage Collector,matheusmoreira,7,0,Other,2026-04-05 15:44:29
47645432,Introduction to Computer Music (2009) [pdf],luu,193,59,Technology,2026-04-05 15:44:29
47649917,"SPF/PC v4 for MS-DOS, FreeDOS, x86",hggh,10,3,Other,2026-04-05 15:44:30
47646472,Aegis – open-source FPGA silicon,rosscomputerguy,84,8,Other,2026-04-05 15:44:30
47608040,Shared mutable state in Rust (2022),vinhnx,24,5,Other,2026-04-05 15:44:30
47650401,StackOverflow: Retiring the Beta Site,stefankuehnel,5,1,Other,2026-04-05 15:44:30
47648438,Common drug tests lead to tens of thousands wrongful arrests a year,rawgabbit,66,26,Other,2026-04-05 15:44:31
47607408,Scientists Figured Out How Eels Reproduce (2022),thunderbong,69,11,Other,2026-04-05 15:44:31
47640875,"LLM Wiki – example of an ""idea file""",tamnd,253,77,Technology,2026-04-05 15:44:31
47646504,Show HN: OsintRadar – Curated directory for osint tools,lexalizer,40,5,Entertainment,2026-04-05 15:44:32
47642569,How many products does Microsoft have named 'Copilot'?,gpi,742,350,Other,2026-04-05 15:44:32
